Model, Error (%)
t88_gfc_tra,14.510131088117738
t88_masked_gfc_tra,14.265684351793736
t88_masked_gfc_fseg_tra,15.984323111513227
t88_gfc_cor,14.71215534759136
111_t88_gfc_sag,13.419470610288434
111_sag_88,15.124494206493216
mpr-1_anon_sag_66,15.245165930238402
mpr-2_anon_sag_66,15.137231351590902
mpr-3_anon_sag_66,14.72375544196039
mpr-4_anon_sag_66,15.690244537093742
